"index","age","job","housing_loan","personal_loan","credit_default","balance"
143,37,"blue-collar","yes","no","no",37
144,59,"blue-collar","yes","no","no",57
145,33,"services","yes","no","no",22
146,56,"blue-collar","yes","no","no",8
147,48,"unemployed","yes","no","no",293
148,43,"services","yes","no","no",3
149,54,"blue-collar","yes","no","no",348
150,51,"blue-collar","yes","no","no",-19
151,26,"student","yes","no","no",0
152,40,"management","yes","no","no",-4
153,39,"management","yes","no","no",18
154,50,"technician","no","no","no",139
155,41,"services","yes","no","no",0
156,51,"blue-collar","yes","no","no",1883
157,60,"retired","yes","no","no",216
158,52,"blue-collar","yes","no","no",782
159,48,"blue-collar","yes","no","no",904
160,48,"services","yes","no","no",1705
161,39,"technician","yes","no","no",47
162,47,"services","yes","no","no",176
163,40,"blue-collar","yes","no","no",1225
164,45,"technician","yes","no","no",86
165,26,"admin.","yes","no","no",82
166,52,"management","yes","no","no",271
167,54,"technician","yes","no","no",1378
168,54,"admin.","no","no","no",184
169,50,"blue-collar","no","no","no",0
170,35,"blue-collar","yes","no","no",0
171,44,"services","yes","yes","no",1357
172,53,"entrepreneur","yes","no","no",19
173,35,"retired","no","no","no",434
174,60,"admin.","yes","no","no",92
175,53,"admin.","yes","no","no",1151
176,48,"unemployed","yes","no","no",41
177,34,"technician","yes","no","no",51
178,54,"services","yes","no","no",214
179,51,"management","yes","no","no",1161
180,31,"services","yes","no","no",37
181,35,"technician","yes","no","no",787
182,35,"services","yes","no","no",59
183,38,"technician","yes","no","no",253
184,36,"admin.","yes","no","no",211
185,58,"retired","yes","no","no",235
186,40,"services","yes","no","no",4384
187,54,"management","no","no","no",4080
188,34,"blue-collar","yes","yes","no",53
189,31,"management","yes","no","no",0
190,51,"retired","yes","no","no",2127
191,33,"management","yes","no","no",377
192,55,"management","yes","no","no",73
193,42,"admin.","yes","no","no",445
194,34,"blue-collar","yes","no","no",243
195,33,"blue-collar","yes","no","no",307
196,38,"services","yes","no","no",155
197,50,"technician","no","yes","no",173
198,43,"management","yes","no","no",400
199,61,"blue-collar","yes","no","no",1428
200,47,"admin.","yes","no","no",219
201,48,"self-employed","yes","no","no",7
202,44,"blue-collar","yes","no","no",575
203,35,"student","yes","no","no",298
204,35,"services","yes","no","no",0
205,50,"services","yes","no","no",5699
206,41,"management","yes","yes","no",176
207,41,"management","yes","no","no",517
208,39,"services","yes","no","no",257
209,42,"retired","yes","no","no",56
210,38,"blue-collar","yes","no","no",-390
211,53,"retired","yes","no","no",330
212,59,"housemaid","no","no","no",195
213,36,"services","yes","no","no",301
214,54,"blue-collar","yes","no","no",-41
215,40,"technician","yes","no","no",483
216,47,"unknown","no","no","no",28
217,53,"unemployed","no","no","no",13
218,46,"housemaid","no","no","no",965
219,39,"management","yes","yes","no",378
220,40,"unemployed","yes","no","no",219
221,28,"blue-collar","yes","no","no",324
222,35,"entrepreneur","yes","no","no",-69
223,55,"retired","no","yes","no",0
224,43,"technician","yes","no","no",205
225,48,"blue-collar","yes","no","no",278
226,58,"management","yes","no","no",1065
227,33,"management","yes","no","no",34
228,36,"blue-collar","no","no","no",1033
229,53,"services","yes","no","no",1467
230,47,"blue-collar","yes","no","no",-12
231,31,"services","yes","no","no",388
232,57,"entrepreneur","yes","no","no",294
233,53,"blue-collar","no","no","no",1827
234,55,"blue-collar","yes","no","no",627
235,45,"blue-collar","yes","no","no",25
236,53,"admin.","yes","no","no",315
237,37,"blue-collar","yes","no","no",0
238,44,"admin.","yes","no","no",66
239,49,"blue-collar","yes","yes","no",-9
240,46,"technician","yes","yes","no",349
241,43,"entrepreneur","yes","no","no",100
242,38,"admin.","no","no","no",0
243,43,"technician","yes","no","no",434
244,49,"management","yes","no","no",3237
245,42,"management","no","no","no",275
246,22,"blue-collar","yes","no","no",0
247,40,"management","yes","no","no",207
248,39,"blue-collar","yes","no","no",483
249,51,"services","yes","no","no",2248
250,49,"admin.","yes","no","no",428
251,53,"blue-collar","yes","yes","no",0
252,34,"services","yes","no","no",0
253,33,"technician","yes","no","no",140
254,50,"management","yes","no","no",297
255,39,"blue-collar","yes","no","no",279
256,59,"entrepreneur","yes","no","no",901
257,30,"technician","yes","no","no",2573
258,36,"services","yes","yes","no",143
259,40,"blue-collar","yes","no","no",475
260,53,"blue-collar","yes","no","no",70
261,34,"management","yes","no","no",318
262,37,"technician","yes","no","no",275
263,42,"management","yes","no","no",742
264,41,"entrepreneur","yes","no","no",236
265,30,"student","yes","no","no",25
266,37,"management","yes","no","no",600
267,39,"admin.","yes","no","no",-349
268,41,"blue-collar","yes","yes","no",183
269,40,"blue-collar","yes","no","no",0
270,42,"management","yes","yes","no",0
271,40,"blue-collar","yes","no","no",0
272,57,"technician","yes","no","no",1078
273,56,"entrepreneur","no","no","no",155
274,37,"admin.","yes","no","no",190
275,59,"retired","yes","no","no",319
276,39,"services","yes","no","no",-185
277,49,"services","no","no","no",47
278,38,"services","yes","no","no",570
279,36,"self-employed","no","no","no",19
280,50,"blue-collar","yes","no","no",61
281,41,"admin.","yes","yes","no",-62
282,54,"technician","no","no","no",258
283,58,"blue-collar","yes","no","no",76
284,30,"blue-collar","yes","no","no",0
285,33,"admin.","yes","no","no",352
286,47,"admin.","yes","no","no",368
287,50,"technician","yes","no","no",339
288,32,"blue-collar","yes","no","no",1331
289,40,"self-employed","yes","no","no",672
290,37,"management","yes","no","no",58
291,54,"technician","yes","no","no",447
292,24,"student","yes","no","no",423
293,54,"management","no","no","no",0
294,34,"technician","yes","no","no",19
295,56,"technician","yes","no","no",13
296,31,"blue-collar","yes","no","no",3
297,24,"student","yes","no","no",82
298,42,"blue-collar","yes","no","no",28
299,57,"technician","yes","no","no",792
300,42,"blue-collar","yes","no","no",408
301,51,"admin.","yes","no","no",531
302,57,"retired","yes","no","no",211
303,36,"services","yes","no","no",62
304,53,"services","yes","no","no",257
305,50,"technician","yes","no","no",1234
306,54,"management","yes","no","no",313
307,55,"blue-collar","yes","no","no",89
308,44,"blue-collar","yes","yes","no",129
309,43,"management","yes","no","no",0
310,56,"admin.","yes","no","no",353
311,54,"technician","yes","no","no",851
312,55,"services","yes","yes","no",96
313,37,"services","yes","yes","no",398
314,33,"admin.","no","no","no",193
315,46,"admin.","yes","no","no",-358
316,36,"blue-collar","yes","yes","no",539
317,51,"technician","yes","no","no",0
318,40,"retired","no","no","no",0
319,42,"blue-collar","yes","no","no",490
320,51,"blue-collar","yes","no","no",0
321,49,"blue-collar","yes","no","no",403
322,48,"management","yes","no","no",161
323,32,"technician","no","no","no",2558
324,31,"admin.","yes","no","no",98
325,55,"management","no","no","no",115
326,40,"blue-collar","yes","no","no",436
327,47,"technician","yes","no","no",831
328,57,"technician","yes","no","no",206
329,41,"blue-collar","yes","no","no",290
330,48,"blue-collar","no","no","no",1
331,42,"blue-collar","yes","no","no",57
332,30,"blue-collar","yes","no","no",-457
333,58,"management","yes","no","no",1387
334,45,"management","yes","no","no",24598
335,49,"blue-collar","yes","no","no",30
336,42,"admin.","yes","no","no",1022
337,53,"technician","yes","yes","no",56
338,51,"admin.","no","no","yes",-2
339,32,"services","yes","no","no",121
340,41,"blue-collar","yes","no","no",842
341,43,"management","yes","no","no",693
342,40,"blue-collar","yes","no","no",-333
343,50,"blue-collar","yes","no","no",1533
344,34,"management","yes","no","no",46
345,53,"services","no","no","no",18
346,45,"technician","yes","no","no",44
347,39,"blue-collar","yes","no","no",-100
348,44,"services","yes","no","no",510
349,55,"management","yes","no","no",685
350,46,"management","yes","no","no",187
351,45,"blue-collar","yes","no","no",66
352,34,"admin.","yes","no","no",560
353,36,"blue-collar","yes","no","no",0
354,59,"unknown","no","no","no",27
355,31,"admin.","yes","no","no",12
356,44,"blue-collar","yes","no","no",34
357,33,"entrepreneur","yes","no","no",1068
358,40,"blue-collar","yes","no","no",211
359,46,"admin.","yes","no","no",377
360,48,"management","yes","no","no",263
361,42,"services","yes","no","no",1263
362,27,"services","yes","no","no",8
363,48,"admin.","yes","yes","no",126
364,59,"admin.","yes","no","no",230
365,46,"technician","yes","no","no",841
366,38,"admin.","yes","no","no",308
367,43,"management","yes","no","no",1
368,38,"admin.","yes","no","no",86
369,23,"student","yes","no","no",157
370,34,"services","yes","no","no",22
371,38,"admin.","yes","yes","no",46
372,37,"blue-collar","no","no","no",1293
373,25,"admin.","yes","no","no",122
374,48,"blue-collar","yes","no","no",131
375,49,"blue-collar","yes","no","no",143
376,38,"admin.","no","no","no",393
377,43,"blue-collar","yes","no","no",98
378,33,"management","yes","no","no",0
379,55,"blue-collar","yes","no","no",224
380,38,"blue-collar","yes","no","no",757
381,49,"services","yes","yes","no",245
382,40,"management","no","no","no",8486
383,43,"admin.","no","no","no",350
384,38,"blue-collar","yes","no","no",20
385,58,"services","yes","yes","no",1667
386,57,"technician","yes","no","no",345
387,32,"unemployed","yes","no","no",10
388,56,"management","yes","yes","no",830
389,58,"blue-collar","yes","no","no",29
390,60,"retired","yes","no","no",545
391,37,"technician","yes","no","no",8730
392,46,"technician","yes","no","no",477
393,27,"admin.","yes","no","no",4
394,43,"blue-collar","yes","no","no",1205
395,32,"technician","yes","yes","no",0
396,40,"admin.","yes","no","no",263
397,38,"admin.","no","no","no",1
398,34,"blue-collar","no","yes","no",283
399,47,"blue-collar","yes","no","no",206
400,42,"housemaid","yes","no","no",17
401,48,"technician","yes","yes","no",141
402,29,"self-employed","yes","no","no",16
403,50,"services","yes","no","no",206
404,52,"technician","no","no","no",7
405,50,"management","no","no","no",0
406,58,"retired","no","no","no",0
407,46,"blue-collar","yes","no","no",1927
408,38,"technician","yes","no","no",284
409,46,"blue-collar","yes","no","no",1660
410,32,"services","yes","no","no",406
411,51,"blue-collar","yes","no","no",230
412,39,"admin.","yes","no","no",-25
413,48,"admin.","yes","no","no",182
414,36,"entrepreneur","yes","no","no",1169
415,34,"admin.","yes","no","no",67
416,40,"technician","no","no","no",77
417,43,"unemployed","yes","no","no",0
418,52,"blue-collar","yes","yes","no",55
419,33,"technician","yes","no","yes",72
420,49,"management","yes","no","no",163
421,32,"management","yes","no","no",151
422,39,"admin.","yes","no","no",113
423,40,"blue-collar","yes","no","no",0
424,38,"technician","yes","no","no",9
425,43,"management","yes","no","no",375
426,39,"services","yes","no","no",1142
427,54,"blue-collar","yes","no","no",2102
428,38,"technician","yes","no","no",4325
429,40,"blue-collar","yes","no","no",217
430,55,"admin.","yes","no","no",131
431,42,"management","yes","no","no",1680
432,39,"blue-collar","yes","no","no",0
433,40,"blue-collar","yes","no","no",46
434,32,"blue-collar","yes","no","no",320
435,55,"admin.","yes","no","no",183
436,45,"blue-collar","no","no","no",39
437,35,"management","yes","no","no",560
438,58,"technician","no","no","no",469
439,35,"admin.","yes","no","no",530
440,49,"services","yes","no","no",61
441,34,"technician","yes","no","no",242
442,36,"blue-collar","yes","no","no",139
443,24,"self-employed","yes","no","no",0
444,34,"technician","yes","no","no",367
445,51,"admin.","yes","no","no",228
446,39,"technician","yes","no","no",45248
447,50,"self-employed","yes","no","no",-84
448,32,"services","yes","no","no",310
449,42,"blue-collar","yes","no","no",132
450,50,"technician","yes","no","no",797
451,40,"services","no","no","no",71
452,46,"management","yes","no","no",2
453,37,"management","yes","yes","no",231
454,34,"blue-collar","yes","yes","no",270
455,44,"blue-collar","yes","yes","no",274
456,40,"admin.","yes","yes","no",-109
457,37,"technician","yes","no","no",1
458,33,"blue-collar","no","no","yes",-60
459,35,"blue-collar","yes","no","no",89
460,58,"blue-collar","no","no","no",-11
461,39,"blue-collar","yes","no","no",0
462,43,"blue-collar","yes","no","no",-509
463,39,"unemployed","yes","no","no",408
464,36,"services","yes","no","no",58
465,57,"retired","no","yes","no",1640
466,36,"admin.","yes","no","no",20
467,50,"blue-collar","yes","no","no",71
468,55,"blue-collar","yes","no","no",52
469,44,"self-employed","yes","no","no",292
470,44,"services","yes","no","no",424
471,39,"housemaid","yes","no","no",109
472,46,"blue-collar","yes","no","no",1044
473,39,"blue-collar","yes","no","no",983
474,34,"admin.","no","no","no",869
475,40,"blue-collar","yes","no","no",668
476,50,"management","yes","no","no",964
477,31,"management","yes","no","no",301
478,37,"admin.","yes","no","no",140
479,39,"management","yes","no","no",1877
480,51,"blue-collar","yes","no","no",1127
481,41,"technician","yes","no","no",871
482,41,"technician","yes","yes","no",767
483,43,"blue-collar","no","no","no",0
484,30,"services","yes","no","no",209
485,54,"management","no","no","no",0
486,43,"blue-collar","yes","yes","no",110
487,59,"management","yes","yes","no",-76
488,47,"technician","yes","no","no",178
489,40,"blue-collar","yes","no","no",-66
490,32,"technician","yes","no","no",0
491,29,"blue-collar","yes","no","no",1
492,36,"blue-collar","yes","no","no",0
493,55,"unemployed","no","no","no",5345
494,30,"blue-collar","yes","no","no",-209
495,39,"admin.","yes","no","no",0
496,39,"blue-collar","yes","no","no",42
497,50,"blue-collar","yes","no","no",41
498,44,"blue-collar","yes","no","no",-99
499,37,"technician","yes","no","no",17
500,46,"admin.","yes","yes","no",276
501,32,"technician","no","no","no",-170
502,37,"management","yes","yes","no",230
503,29,"blue-collar","yes","no","no",9
504,41,"blue-collar","yes","no","no",946
505,45,"blue-collar","yes","no","no",1297
506,57,"retired","yes","no","no",-331
507,48,"blue-collar","yes","no","no",44
508,60,"retired","no","no","yes",15
509,26,"admin.","yes","no","no",712
510,58,"retired","yes","no","no",5435
511,34,"admin.","yes","no","no",507
512,55,"unemployed","yes","no","no",387
513,41,"blue-collar","yes","yes","no",0
514,50,"management","yes","no","no",1716
515,49,"entrepreneur","yes","yes","no",167
516,44,"admin.","no","yes","no",40
517,44,"blue-collar","yes","no","no",148
518,31,"technician","yes","yes","no",17
519,34,"blue-collar","yes","no","no",1011
520,46,"management","yes","no","no",1527
521,42,"management","no","no","no",744
522,52,"admin.","yes","no","no",484
523,29,"management","yes","no","no",0
524,53,"retired","yes","no","no",136
525,43,"blue-collar","yes","no","no",1335
526,38,"management","yes","no","no",517
527,46,"management","yes","no","no",459
528,48,"management","yes","no","no",549
529,30,"admin.","yes","yes","no",83
530,44,"blue-collar","no","no","no",213
531,31,"housemaid","yes","no","no",203
532,42,"services","yes","no","no",518
533,40,"management","yes","no","no",3877
534,52,"admin.","yes","no","no",1236
535,45,"blue-collar","yes","no","no",756
536,48,"blue-collar","yes","no","no",157
537,45,"blue-collar","yes","no","no",-66
538,34,"blue-collar","yes","no","no",245
539,34,"blue-collar","yes","no","no",-144
540,46,"blue-collar","yes","no","no",71
541,49,"services","yes","no","no",505
542,50,"technician","yes","no","no",249
543,34,"admin.","yes","no","no",0
544,40,"unemployed","yes","no","no",11
545,36,"admin.","yes","no","no",639
546,59,"blue-collar","yes","no","no",124
547,45,"blue-collar","yes","no","no",82
548,36,"self-employed","yes","no","no",107
549,56,"services","yes","no","no",473
550,42,"services","yes","yes","no",372
551,30,"admin.","yes","no","no",46
552,30,"student","yes","no","no",34
553,47,"self-employed","yes","no","no",935
554,33,"blue-collar","yes","no","no",-10
555,36,"admin.","yes","no","no",-106
556,39,"services","yes","no","no",471
557,56,"admin.","yes","no","no",778
558,39,"blue-collar","yes","no","no",170
559,42,"technician","yes","no","no",315
560,52,"blue-collar","no","no","no",3165
561,36,"admin.","yes","no","no",131
562,35,"entrepreneur","yes","no","yes",204
563,47,"technician","yes","no","no",83
564,59,"services","yes","yes","no",0
565,57,"blue-collar","yes","yes","no",5431
566,38,"management","yes","no","no",1759
567,46,"unemployed","yes","no","no",-125
568,34,"blue-collar","no","no","no",0
569,28,"services","yes","no","no",5090
570,38,"technician","yes","no","no",573
571,56,"blue-collar","yes","no","no",1602
572,41,"blue-collar","yes","yes","yes",-137
573,52,"technician","no","no","no",0
574,54,"services","no","no","no",193
575,61,"retired","yes","yes","no",195
576,53,"entrepreneur","no","no","no",288
577,47,"technician","yes","no","no",19
578,53,"blue-collar","yes","no","no",25
579,46,"services","yes","no","no",216
580,39,"blue-collar","yes","yes","no",190
581,56,"technician","yes","no","no",99
582,55,"services","yes","no","no",2298
583,44,"management","yes","no","no",17
584,37,"technician","yes","no","no",0
585,35,"blue-collar","yes","no","no",0
586,55,"blue-collar","yes","no","no",840
587,37,"services","yes","no","no",358
588,30,"technician","yes","no","no",0
589,37,"blue-collar","yes","yes","no",-325
590,36,"technician","yes","no","no",-15
591,38,"technician","yes","no","no",581
592,41,"admin.","yes","no","no",4070
593,48,"retired","no","yes","no",74
594,55,"services","yes","no","no",141
595,28,"services","no","no","no",89
596,54,"services","yes","no","yes",0
597,30,"blue-collar","no","no","no",450
598,48,"technician","no","no","no",310
599,31,"self-employed","yes","no","no",0
600,38,"blue-collar","yes","no","no",384
601,37,"blue-collar","yes","no","no",395
602,37,"services","yes","no","no",-118
603,56,"blue-collar","yes","yes","no",5
604,51,"blue-collar","yes","yes","no",50
605,39,"blue-collar","yes","yes","no",285
606,49,"technician","no","no","no",15
607,51,"blue-collar","yes","yes","no",653
608,43,"self-employed","yes","no","no",918
609,32,"services","yes","yes","no",243
610,29,"technician","yes","no","no",405
611,48,"management","yes","no","no",1328
612,55,"services","yes","no","no",255
613,53,"blue-collar","yes","no","no",3397
614,47,"technician","yes","no","no",2106
615,39,"management","yes","no","no",2877
616,31,"blue-collar","yes","yes","no",60
617,39,"blue-collar","yes","no","no",2226
618,40,"blue-collar","yes","no","no",2880
619,40,"technician","yes","no","no",-5
620,48,"technician","no","no","no",147
621,33,"technician","yes","yes","no",7
622,40,"technician","yes","no","no",109
623,59,"retired","yes","no","no",-119
624,30,"technician","yes","no","no",484
625,31,"management","yes","no","no",1852
626,35,"unemployed","yes","no","no",533
627,54,"technician","yes","no","no",21
628,34,"admin.","yes","no","no",2434
629,32,"technician","yes","yes","no",90
630,56,"admin.","yes","no","no",4246
631,32,"admin.","yes","no","no",395
632,42,"blue-collar","yes","no","no",15
633,33,"services","no","no","no",85
634,52,"entrepreneur","yes","yes","no",-184
635,52,"services","no","no","no",660
636,52,"blue-collar","yes","no","yes",-183
637,30,"unemployed","yes","no","no",1144
638,44,"services","yes","no","no",1
639,35,"admin.","yes","yes","no",69
640,55,"management","yes","no","no",220
641,33,"blue-collar","yes","no","no",332
642,37,"blue-collar","yes","no","no",240
643,42,"technician","yes","no","no",0
644,43,"unemployed","yes","no","no",0
645,38,"entrepreneur","yes","no","no",898
646,37,"technician","yes","yes","no",123
647,31,"student","yes","no","no",252
648,41,"management","yes","no","no",65
649,41,"technician","yes","yes","no",-366
650,29,"student","yes","no","no",209
651,38,"admin.","yes","no","no",221
652,44,"self-employed","yes","no","no",4
653,39,"admin.","yes","no","no",104
654,28,"technician","yes","no","no",312
655,33,"blue-collar","yes","no","no",-349
656,41,"services","no","no","no",4
657,40,"blue-collar","yes","yes","no",-322
658,29,"admin.","yes","no","no",-150
659,38,"management","yes","no","no",1349
660,32,"admin.","yes","no","no",281
661,45,"services","yes","no","no",1259
662,33,"admin.","yes","no","no",101
663,34,"blue-collar","yes","no","no",848
664,41,"entrepreneur","yes","no","no",89
665,41,"blue-collar","yes","no","no",140
666,35,"admin.","yes","no","no",148
667,40,"technician","yes","no","no",200
668,60,"self-employed","yes","no","no",46
669,47,"services","yes","no","no",201
670,46,"blue-collar","yes","no","no",530
671,31,"blue-collar","yes","no","no",0
672,49,"self-employed","yes","no","no",1
673,29,"blue-collar","yes","no","no",43
674,31,"management","yes","no","no",-173
675,38,"management","yes","no","no",389
676,37,"blue-collar","yes","yes","no",215
677,35,"technician","yes","no","no",-131
678,31,"management","yes","no","no",783
679,41,"admin.","yes","no","no",0
680,46,"services","yes","no","no",80
681,40,"services","yes","no","no",105
682,29,"admin.","yes","yes","no",182
683,49,"admin.","yes","no","no",82
684,42,"management","yes","no","no",0
685,54,"services","yes","no","no",510
686,40,"management","yes","no","no",242
687,53,"admin.","yes","yes","no",244
688,49,"management","yes","no","no",92
689,40,"blue-collar","yes","no","yes",0
690,29,"student","yes","no","no",948
691,36,"blue-collar","yes","no","no",23
692,37,"technician","yes","no","no",710
693,39,"services","yes","no","no",1205
694,36,"technician","yes","yes","no",368
695,44,"entrepreneur","yes","no","no",1631
696,40,"admin.","yes","no","no",6
697,49,"blue-collar","yes","no","no",26
698,30,"technician","yes","no","no",-48
699,57,"management","yes","no","no",2142
700,24,"services","yes","yes","no",77
701,46,"blue-collar","yes","no","no",401
702,33,"admin.","no","no","no",21
703,43,"services","yes","no","no",0
704,43,"admin.","yes","no","no",-497
705,40,"blue-collar","no","no","no",369
706,44,"technician","yes","no","no",78
707,35,"technician","yes","yes","no",226
708,47,"technician","yes","no","no",503
709,33,"blue-collar","yes","no","no",372
710,31,"admin.","yes","yes","no",0
711,40,"blue-collar","yes","no","no",0
712,36,"entrepreneur","yes","no","no",125
713,56,"retired","yes","no","no",4
714,40,"admin.","yes","no","no",419
715,41,"admin.","yes","no","no",322
716,53,"retired","yes","no","no",303
717,39,"blue-collar","yes","no","no",607
718,44,"blue-collar","yes","no","no",579
719,38,"admin.","yes","no","no",3047
720,54,"technician","yes","no","no",83
721,58,"management","yes","no","no",68
722,52,"blue-collar","yes","no","no",58
723,28,"admin.","yes","no","no",251
724,36,"blue-collar","yes","no","no",688
725,60,"retired","yes","no","no",364
726,42,"services","yes","no","no",55
727,42,"admin.","yes","no","no",101
728,44,"management","yes","no","no",105
729,51,"blue-collar","yes","no","no",325
730,49,"blue-collar","yes","no","no",198
731,47,"entrepreneur","yes","no","no",209
732,37,"blue-collar","yes","no","no",183
733,34,"management","yes","no","no",105
734,35,"services","yes","no","no",109
735,35,"blue-collar","yes","yes","no",376
736,40,"blue-collar","yes","no","no",-7
737,55,"technician","no","no","no",0
738,55,"retired","yes","no","no",143
739,35,"management","yes","no","no",550
740,57,"blue-collar","yes","no","no",162
741,53,"management","yes","no","no",115
742,41,"blue-collar","yes","no","no",512
743,57,"blue-collar","yes","no","no",807
744,45,"blue-collar","yes","no","no",248
745,43,"blue-collar","yes","no","no",1211
746,56,"self-employed","no","no","no",7
747,31,"entrepreneur","yes","no","no",281
748,37,"blue-collar","yes","no","no",88
749,30,"management","yes","no","no",32
750,30,"admin.","yes","no","no",115
751,54,"blue-collar","yes","no","no",254
752,36,"management","yes","no","no",144
753,55,"unemployed","no","no","no",383
754,37,"admin.","yes","yes","no",569
755,38,"housemaid","yes","no","no",0
756,48,"admin.","yes","no","no",3754
757,55,"housemaid","yes","no","no",6920
758,59,"services","yes","yes","no",307
759,37,"technician","yes","no","no",-421
760,33,"blue-collar","no","no","no",60
761,44,"blue-collar","yes","no","no",67
762,57,"technician","yes","no","no",402
763,30,"self-employed","no","no","no",800
764,42,"technician","yes","yes","no",239
765,51,"blue-collar","yes","no","no",421
