"index","age","marital","education"
172,53,"married","unknown"
173,35,"single","primary"
174,60,"divorced","secondary"
175,53,"divorced","secondary"
176,48,"married","secondary"
177,34,"married","secondary"
178,54,"married","secondary"
179,51,"married","secondary"
180,31,"married","tertiary"
181,35,"divorced","secondary"
182,35,"married","secondary"
183,38,"married","secondary"
184,36,"married","tertiary"
185,58,"married","primary"
186,40,"divorced","unknown"
187,54,"married","secondary"
188,34,"single","secondary"
189,31,"single","tertiary"
190,51,"married","secondary"
191,33,"married","tertiary"
192,55,"married","tertiary"
193,42,"married","secondary"
194,34,"married","secondary"
195,33,"single","secondary"
196,38,"married","secondary"
197,50,"divorced","tertiary"
198,43,"married","tertiary"
199,61,"divorced","primary"
200,47,"married","secondary"
201,48,"married","tertiary"
202,44,"married","secondary"
203,35,"single","unknown"
204,35,"married","secondary"
205,50,"married","secondary"
206,41,"married","tertiary"
207,41,"married","tertiary"
208,39,"single","unknown"
209,42,"married","secondary"
210,38,"married","secondary"
211,53,"married","secondary"
212,59,"divorced","primary"
213,36,"married","secondary"
214,54,"married","primary"
215,40,"married","tertiary"
216,47,"married","unknown"
217,53,"married","unknown"
218,46,"married","primary"
219,39,"married","tertiary"
220,40,"married","secondary"
221,28,"married","primary"
222,35,"divorced","secondary"
223,55,"married","secondary"
224,43,"divorced","unknown"
225,48,"married","primary"
226,58,"married","unknown"
227,33,"single","tertiary"
228,36,"married","unknown"
229,53,"divorced","secondary"
230,47,"married","primary"
231,31,"married","secondary"
232,57,"married","secondary"
233,53,"married","unknown"
234,55,"married","primary"
235,45,"married","primary"
236,53,"divorced","secondary"
237,37,"married","primary"
238,44,"divorced","secondary"
239,49,"divorced","primary"
240,46,"married","secondary"
241,43,"married","unknown"
242,38,"married","secondary"
243,43,"married","secondary"
244,49,"married","tertiary"
245,42,"married","unknown"
246,22,"single","secondary"
247,40,"married","tertiary"
248,39,"married","secondary"
249,51,"married","secondary"
250,49,"married","secondary"
251,53,"married","secondary"
252,34,"single","secondary"
253,33,"divorced","secondary"
254,50,"single","tertiary"
255,39,"married","primary"
256,59,"divorced","secondary"
257,30,"single","secondary"
258,36,"married","secondary"
259,40,"married","secondary"
260,53,"married","secondary"
261,34,"single","tertiary"
262,37,"married","secondary"
263,42,"divorced","tertiary"
264,41,"married","primary"
265,30,"single","tertiary"
266,37,"single","tertiary"
267,39,"divorced","secondary"
268,41,"married","primary"
269,40,"married","primary"
270,42,"single","tertiary"
271,40,"divorced","primary"
272,57,"married","secondary"
273,56,"divorced","secondary"
274,37,"married","secondary"
275,59,"married","secondary"
276,39,"divorced","secondary"
277,49,"married","secondary"
278,38,"single","secondary"
279,36,"married","tertiary"
280,50,"married","primary"
281,41,"married","secondary"
282,54,"married","tertiary"
283,58,"married","primary"
284,30,"single","secondary"
285,33,"single","secondary"
286,47,"married","secondary"
287,50,"single","tertiary"
288,32,"married","secondary"
289,40,"married","secondary"
290,37,"married","tertiary"
291,54,"single","unknown"
292,24,"single","secondary"
293,54,"married","tertiary"
294,34,"married","secondary"
295,56,"divorced","primary"
296,31,"single","secondary"
297,24,"single","secondary"
298,42,"divorced","primary"
299,57,"married","secondary"
300,42,"married","unknown"
301,51,"married","secondary"
302,57,"married","secondary"
303,36,"single","secondary"
304,53,"married","unknown"
305,50,"married","secondary"
306,54,"married","tertiary"
307,55,"married","secondary"
308,44,"married","secondary"
309,43,"married","unknown"
310,56,"married","secondary"
311,54,"married","unknown"
312,55,"divorced","primary"
313,37,"divorced","secondary"
314,33,"single","tertiary"
315,46,"married","secondary"
316,36,"married","secondary"
317,51,"single","secondary"
318,40,"single","primary"
319,42,"married","secondary"
320,51,"married","secondary"
321,49,"married","unknown"
322,48,"married","secondary"
323,32,"divorced","tertiary"
324,31,"single","secondary"
325,55,"single","tertiary"
326,40,"single","secondary"
327,47,"married","tertiary"
328,57,"married","unknown"
329,41,"married","secondary"
330,48,"married","secondary"
331,42,"married","unknown"
332,30,"single","secondary"
333,58,"single","tertiary"
334,45,"divorced","tertiary"
335,49,"married","secondary"
336,42,"single","secondary"
337,53,"married","secondary"
338,51,"single","secondary"
339,32,"single","secondary"
340,41,"single","secondary"
341,43,"divorced","secondary"
342,40,"divorced","secondary"
343,50,"married","primary"
344,34,"married","tertiary"
345,53,"married","unknown"
346,45,"married","secondary"
347,39,"married","primary"
348,44,"married","tertiary"
349,55,"married","tertiary"
350,46,"single","tertiary"
351,45,"married","secondary"
352,34,"married","secondary"
353,36,"married","secondary"
354,59,"divorced","unknown"
355,31,"single","secondary"
356,44,"single","secondary"
357,33,"single","tertiary"
358,40,"married","secondary"
359,46,"single","tertiary"
360,48,"married","tertiary"
361,42,"married","secondary"
362,27,"married","secondary"
363,48,"married","secondary"
364,59,"married","secondary"
365,46,"married","tertiary"
366,38,"divorced","secondary"
367,43,"divorced","tertiary"
368,38,"divorced","tertiary"
369,23,"single","secondary"
370,34,"married","secondary"
371,38,"married","secondary"
372,37,"married","secondary"
373,25,"single","secondary"
374,48,"married","unknown"
375,49,"single","secondary"
376,38,"single","secondary"
377,43,"married","primary"
378,33,"married","tertiary"
379,55,"married","secondary"
380,38,"married","secondary"
381,49,"married","secondary"
382,40,"married","secondary"
383,43,"married","unknown"
384,38,"married","secondary"
385,58,"married","secondary"
386,57,"married","unknown"
387,32,"married","secondary"
388,56,"married","tertiary"
389,58,"divorced","unknown"
390,60,"divorced","secondary"
391,37,"married","tertiary"
392,46,"divorced","tertiary"
393,27,"married","secondary"
394,43,"married","secondary"
395,32,"single","secondary"
396,40,"single","secondary"
397,38,"married","secondary"
398,34,"married","secondary"
399,47,"married","primary"
400,42,"married","primary"
401,48,"married","secondary"
402,29,"single","tertiary"
403,50,"married","secondary"
404,52,"married","unknown"
405,50,"married","tertiary"
406,58,"married","tertiary"
407,46,"divorced","primary"
408,38,"married","secondary"
409,46,"married","secondary"
410,32,"single","secondary"
411,51,"married","primary"
412,39,"single","secondary"
413,48,"married","secondary"
414,36,"married","tertiary"
415,34,"divorced","secondary"
416,40,"married","secondary"
417,43,"married","secondary"
418,52,"divorced","primary"
419,33,"married","secondary"
420,49,"single","tertiary"
421,32,"single","tertiary"
422,39,"single","secondary"
423,40,"married","secondary"
424,38,"single","tertiary"
425,43,"married","secondary"
426,39,"married","secondary"
427,54,"married","primary"
428,38,"single","tertiary"
429,40,"married","secondary"
430,55,"married","secondary"
431,42,"married","tertiary"
432,39,"married","secondary"
433,40,"married","primary"
434,32,"married","secondary"
435,55,"married","secondary"
436,45,"married","secondary"
437,35,"single","tertiary"
438,58,"divorced","secondary"
439,35,"married","secondary"
440,49,"married","primary"
441,34,"single","tertiary"
442,36,"married","secondary"
443,24,"single","secondary"
444,34,"married","secondary"
445,51,"divorced","secondary"
446,39,"single","unknown"
447,50,"married","unknown"
448,32,"single","secondary"
449,42,"married","unknown"
450,50,"married","secondary"
451,40,"married","secondary"
452,46,"divorced","unknown"
453,37,"married","tertiary"
454,34,"married","secondary"
455,44,"married","secondary"
456,40,"single","secondary"
457,37,"married","secondary"
458,33,"single","secondary"
459,35,"married","secondary"
460,58,"divorced","secondary"
461,39,"married","primary"
462,43,"married","secondary"
463,39,"married","primary"
464,36,"single","primary"
465,57,"single","secondary"
466,36,"single","secondary"
467,50,"married","primary"
468,55,"married","secondary"
469,44,"married","tertiary"
470,44,"divorced","secondary"
471,39,"single","primary"
472,46,"married","unknown"
473,39,"married","secondary"
474,34,"married","secondary"
475,40,"married","primary"
476,50,"married","tertiary"
477,31,"single","secondary"
478,37,"single","secondary"
479,39,"single","secondary"
480,51,"married","primary"
481,41,"married","secondary"
482,41,"married","secondary"
483,43,"married","secondary"
484,30,"single","secondary"
485,54,"divorced","primary"
486,43,"divorced","secondary"
487,59,"divorced","tertiary"
488,47,"married","unknown"
489,40,"married","primary"
490,32,"married","secondary"
491,29,"married","secondary"
492,36,"married","secondary"
493,55,"married","tertiary"
494,30,"divorced","secondary"
495,39,"single","secondary"
496,39,"divorced","secondary"
497,50,"divorced","secondary"
498,44,"married","secondary"
499,37,"single","secondary"
500,46,"married","primary"
501,32,"single","unknown"
502,37,"single","tertiary"
503,29,"married","secondary"
504,41,"married","secondary"
505,45,"married","primary"
506,57,"divorced","secondary"
507,48,"single","secondary"
508,60,"married","secondary"
509,26,"single","secondary"
510,58,"married","secondary"
511,34,"married","secondary"
512,55,"divorced","secondary"
513,41,"married","primary"
514,50,"divorced","secondary"
515,49,"married","secondary"
516,44,"married","unknown"
517,44,"married","primary"
518,31,"married","secondary"
519,34,"single","tertiary"
520,46,"single","unknown"
521,42,"married","tertiary"
522,52,"married","secondary"
523,29,"single","tertiary"
524,53,"married","primary"
525,43,"married","secondary"
526,38,"married","secondary"
527,46,"married","tertiary"
528,48,"divorced","unknown"
529,30,"divorced","secondary"
530,44,"married","primary"
531,31,"married","primary"
532,42,"single","secondary"
533,40,"single","tertiary"
534,52,"married","secondary"
535,45,"divorced","secondary"
536,48,"married","secondary"
537,45,"married","primary"
538,34,"married","unknown"
539,34,"married","primary"
540,46,"married","secondary"
541,49,"divorced","secondary"
542,50,"married","primary"
543,34,"single","secondary"
544,40,"single","secondary"
545,36,"married","secondary"
546,59,"divorced","unknown"
547,45,"married","secondary"
548,36,"married","tertiary"
549,56,"married","secondary"
550,42,"divorced","secondary"
551,30,"married","secondary"
552,30,"single","tertiary"
553,47,"married","unknown"
554,33,"married","secondary"
555,36,"married","secondary"
556,39,"divorced","primary"
557,56,"divorced","secondary"
558,39,"divorced","unknown"
559,42,"married","secondary"
560,52,"married","secondary"
561,36,"divorced","secondary"
562,35,"married","secondary"
563,47,"married","secondary"
564,59,"divorced","secondary"
565,57,"married","primary"
566,38,"married","unknown"
567,46,"married","secondary"
568,34,"married","secondary"
569,28,"single","secondary"
570,38,"married","unknown"
571,56,"married","secondary"
572,41,"single","primary"
573,52,"married","unknown"
574,54,"married","secondary"
575,61,"married","secondary"
576,53,"married","secondary"
577,47,"married","secondary"
578,53,"married","primary"
579,46,"married","secondary"
580,39,"divorced","primary"
581,56,"divorced","secondary"
582,55,"divorced","primary"
583,44,"married","tertiary"
584,37,"married","primary"
585,35,"married","primary"
586,55,"married","secondary"
587,37,"married","secondary"
588,30,"single","secondary"
589,37,"married","primary"
590,36,"single","secondary"
591,38,"married","secondary"
592,41,"divorced","primary"
593,48,"married","secondary"
594,55,"divorced","secondary"
595,28,"divorced","secondary"
596,54,"married","secondary"
597,30,"married","secondary"
598,48,"married","tertiary"
599,31,"married","secondary"
600,38,"married","secondary"
601,37,"married","secondary"
602,37,"single","unknown"
603,56,"married","primary"
604,51,"married","secondary"
605,39,"married","secondary"
606,49,"married","unknown"
607,51,"married","primary"
608,43,"married","secondary"
609,32,"married","secondary"
610,29,"single","tertiary"
611,48,"divorced","tertiary"
612,55,"married","primary"
613,53,"married","secondary"
614,47,"married","unknown"
615,39,"married","tertiary"
616,31,"single","tertiary"
617,39,"married","primary"
618,40,"married","primary"
619,40,"single","unknown"
620,48,"married","secondary"
621,33,"divorced","secondary"
622,40,"married","secondary"
623,59,"married","primary"
624,30,"married","secondary"
625,31,"single","tertiary"
626,35,"married","secondary"
627,54,"divorced","secondary"
628,34,"single","unknown"
629,32,"married","secondary"
630,56,"divorced","unknown"
631,32,"single","tertiary"
632,42,"married","primary"
633,33,"married","tertiary"
634,52,"married","tertiary"
635,52,"married","secondary"
636,52,"divorced","primary"
637,30,"divorced","secondary"
638,44,"divorced","secondary"
639,35,"married","secondary"
640,55,"single","secondary"
641,33,"married","primary"
642,37,"single","secondary"
643,42,"single","secondary"
644,43,"married","secondary"
645,38,"married","tertiary"
646,37,"married","secondary"
647,31,"single","secondary"
648,41,"married","tertiary"
649,41,"married","secondary"
650,29,"single","secondary"
651,38,"single","secondary"
652,44,"divorced","tertiary"
653,39,"married","secondary"
654,28,"single","secondary"
655,33,"married","secondary"
656,41,"married","unknown"
657,40,"married","primary"
658,29,"married","secondary"
659,38,"married","unknown"
660,32,"married","tertiary"
661,45,"married","secondary"
662,33,"single","secondary"
663,34,"married","secondary"
664,41,"married","unknown"
665,41,"married","secondary"
666,35,"single","secondary"
667,40,"single","secondary"
668,60,"married","primary"
669,47,"divorced","secondary"
670,46,"married","primary"
671,31,"single","secondary"
672,49,"married","secondary"
673,29,"married","secondary"
674,31,"single","tertiary"
675,38,"married","tertiary"
676,37,"married","primary"
677,35,"married","secondary"
678,31,"single","secondary"
679,41,"married","secondary"
680,46,"married","unknown"
681,40,"divorced","secondary"
682,29,"married","secondary"
683,49,"married","secondary"
684,42,"married","tertiary"
685,54,"married","secondary"
686,40,"single","tertiary"
687,53,"married","secondary"
688,49,"married","tertiary"
689,40,"married","primary"
690,29,"single","secondary"
691,36,"married","primary"
692,37,"married","secondary"
693,39,"married","secondary"
694,36,"married","secondary"
695,44,"married","tertiary"
696,40,"married","secondary"
697,49,"married","secondary"
698,30,"single","unknown"
699,57,"married","tertiary"
700,24,"single","secondary"
701,46,"married","unknown"
702,33,"married","secondary"
703,43,"divorced","secondary"
704,43,"single","secondary"
705,40,"divorced","primary"
706,44,"single","unknown"
707,35,"single","tertiary"
708,47,"married","secondary"
709,33,"married","secondary"
710,31,"married","secondary"
711,40,"divorced","secondary"
712,36,"married","tertiary"
713,56,"divorced","primary"
714,40,"single","unknown"
715,41,"divorced","secondary"
716,53,"married","secondary"
717,39,"married","secondary"
718,44,"divorced","secondary"
719,38,"married","secondary"
720,54,"divorced","secondary"
721,58,"married","tertiary"
722,52,"married","primary"
723,28,"single","secondary"
724,36,"married","secondary"
725,60,"married","primary"
726,42,"divorced","secondary"
727,42,"married","secondary"
728,44,"married","tertiary"
729,51,"divorced","primary"
730,49,"married","primary"
731,47,"married","unknown"
732,37,"married","secondary"
733,34,"married","tertiary"
734,35,"married","secondary"
735,35,"single","secondary"
736,40,"married","primary"
737,55,"married","secondary"
738,55,"married","secondary"
739,35,"single","tertiary"
740,57,"married","primary"
741,53,"married","tertiary"
742,41,"married","primary"
743,57,"married","unknown"
744,45,"married","unknown"
745,43,"married","primary"
746,56,"married","unknown"
747,31,"married","tertiary"
748,37,"single","secondary"
749,30,"married","tertiary"
750,30,"single","secondary"
751,54,"married","secondary"
752,36,"married","tertiary"
753,55,"married","tertiary"
754,37,"single","secondary"
755,38,"married","secondary"
756,48,"married","secondary"
757,55,"divorced","tertiary"
758,59,"married","secondary"
759,37,"married","secondary"
760,33,"divorced","secondary"
761,44,"married","primary"
762,57,"married","secondary"
763,30,"single","tertiary"
764,42,"married","tertiary"
765,51,"divorced","secondary"
766,44,"divorced","secondary"
767,46,"married","secondary"
768,29,"single","secondary"
769,39,"married","primary"
770,42,"married","secondary"
771,50,"married","primary"
772,42,"single","secondary"
773,39,"married","secondary"
774,55,"single","tertiary"
775,46,"married","secondary"
776,42,"married","secondary"
777,45,"married","tertiary"
778,43,"married","primary"
779,42,"married","secondary"
780,30,"married","secondary"
781,47,"married","secondary"
782,51,"divorced","secondary"
783,38,"single","secondary"
784,57,"married","unknown"
785,42,"divorced","tertiary"
786,32,"divorced","secondary"
787,46,"married","tertiary"
788,29,"single","tertiary"
789,59,"married","secondary"
790,32,"single","secondary"
791,44,"married","primary"
792,40,"married","primary"
793,31,"single","secondary"
794,46,"married","tertiary"
795,43,"married","tertiary"
796,34,"married","secondary"
797,39,"married","tertiary"
798,30,"divorced","secondary"
799,56,"married","secondary"
800,29,"married","secondary"
801,40,"divorced","secondary"
802,36,"married","secondary"
803,37,"single","secondary"
804,35,"married","secondary"
805,35,"married","primary"
806,47,"married","primary"
807,31,"married","secondary"
808,56,"single","primary"
809,57,"married","secondary"
810,36,"married","secondary"
811,45,"divorced","secondary"
812,47,"married","unknown"
813,29,"single","tertiary"
814,57,"married","secondary"
815,45,"married","primary"
816,31,"single","primary"
817,31,"divorced","tertiary"
818,37,"single","tertiary"
819,30,"single","tertiary"
820,58,"divorced","secondary"
821,33,"married","secondary"
822,39,"married","primary"
823,33,"single","primary"
824,34,"married","secondary"
825,36,"divorced","secondary"
826,37,"single","secondary"
827,35,"married","secondary"
828,55,"married","secondary"
829,34,"single","tertiary"
830,40,"divorced","tertiary"
831,42,"single","primary"
832,37,"married","secondary"
833,42,"married","tertiary"
834,35,"single","secondary"
835,44,"divorced","secondary"
836,30,"single","secondary"
837,45,"married","secondary"
838,35,"single","unknown"
839,36,"divorced","secondary"
840,49,"married","secondary"
841,31,"single","secondary"
842,31,"single","secondary"
843,39,"married","secondary"
844,37,"single","secondary"
845,33,"married","primary"
846,37,"married","tertiary"
847,42,"married","secondary"
848,56,"married","secondary"
849,37,"single","secondary"
850,36,"single","secondary"
851,29,"single","tertiary"
852,54,"married","tertiary"
853,38,"married","secondary"
854,43,"divorced","secondary"
855,47,"single","secondary"
856,47,"married","secondary"
857,38,"married","secondary"
858,40,"married","secondary"
859,33,"divorced","secondary"
860,33,"married","secondary"
861,53,"divorced","unknown"
862,37,"married","primary"
863,40,"single","tertiary"
864,37,"married","primary"
865,35,"married","secondary"
866,49,"married","primary"
867,26,"single","secondary"
868,38,"single","tertiary"
869,52,"married","secondary"
870,33,"divorced","secondary"
871,31,"single","secondary"
872,32,"married","secondary"
873,35,"single","primary"
874,55,"divorced","tertiary"
875,32,"divorced","primary"
876,37,"single","unknown"
877,45,"married","secondary"
878,31,"married","secondary"
879,38,"married","secondary"
880,37,"married","secondary"
881,38,"married","secondary"
882,33,"married","tertiary"
883,38,"married","primary"
884,37,"single","tertiary"
885,29,"married","tertiary"
886,42,"married","tertiary"
887,40,"married","secondary"
888,32,"married","tertiary"
889,47,"divorced","tertiary"
890,29,"single","secondary"
891,53,"divorced","primary"
892,31,"married","tertiary"
893,59,"married","secondary"
894,29,"married","primary"
895,59,"married","primary"
896,44,"married","primary"
897,38,"single","secondary"
898,49,"married","secondary"
899,43,"married","secondary"
900,52,"single","secondary"
901,40,"married","secondary"
902,32,"married","secondary"
903,47,"married","primary"
904,33,"married","tertiary"
905,35,"married","tertiary"
906,27,"single","secondary"
907,50,"married","primary"
908,44,"married","secondary"
909,43,"married","primary"
910,51,"married","unknown"
911,32,"single","secondary"
912,47,"divorced","tertiary"
913,34,"divorced","secondary"
914,57,"married","primary"
915,43,"single","secondary"
916,40,"single","tertiary"
917,28,"single","secondary"
918,38,"married","unknown"
919,37,"divorced","secondary"
920,44,"married","secondary"
921,41,"married","secondary"
922,37,"married","tertiary"
923,30,"single","tertiary"
924,32,"married","secondary"
925,30,"single","tertiary"
926,35,"married","secondary"
927,55,"married","secondary"
928,52,"married","secondary"
929,33,"married","secondary"
930,55,"married","primary"
931,33,"married","secondary"
932,40,"married","secondary"
933,39,"married","secondary"
934,54,"married","secondary"
935,39,"married","primary"
936,49,"married","secondary"
937,52,"married","secondary"
938,27,"single","tertiary"
939,26,"married","secondary"
940,40,"married","secondary"
941,47,"married","secondary"
942,31,"single","secondary"
943,53,"single","secondary"
944,31,"married","secondary"
945,33,"married","secondary"
946,35,"married","secondary"
947,46,"married","unknown"
948,31,"married","secondary"
949,35,"single","secondary"
950,29,"married","secondary"
951,51,"married","secondary"
952,33,"married","primary"
953,37,"married","tertiary"
954,43,"single","unknown"
955,42,"married","tertiary"
956,28,"married","secondary"
957,57,"married","secondary"
958,38,"married","secondary"
959,39,"married","primary"
960,36,"married","tertiary"
961,57,"married","tertiary"
962,44,"married","unknown"
963,48,"divorced","secondary"
964,46,"married","primary"
965,43,"married","secondary"
966,49,"married","secondary"
967,29,"single","secondary"
968,53,"married","secondary"
969,30,"single","secondary"
970,41,"divorced","secondary"
971,33,"married","secondary"
972,47,"married","primary"
973,58,"married","secondary"
974,31,"married","secondary"
975,38,"single","secondary"
976,60,"married","secondary"
977,33,"single","tertiary"
978,33,"single","tertiary"
979,52,"married","primary"
980,42,"married","primary"
981,30,"single","secondary"
982,33,"divorced","tertiary"
983,46,"divorced","secondary"
984,51,"married","primary"
985,40,"single","secondary"
986,50,"married","secondary"
987,42,"married","tertiary"
988,38,"married","secondary"
989,36,"single","primary"
990,37,"divorced","primary"
991,33,"married","tertiary"
992,38,"single","secondary"
993,52,"married","tertiary"
994,29,"married","secondary"
995,37,"married","primary"
996,34,"married","secondary"
997,43,"married","primary"
998,49,"married","secondary"
999,33,"single","secondary"
1000,47,"married","unknown"
1001,50,"married","secondary"
1002,30,"single","primary"
1003,44,"married","primary"
1004,44,"divorced","secondary"
1005,30,"single","secondary"
1006,40,"married","unknown"
1007,41,"married","unknown"
1008,34,"married","primary"
1009,53,"married","primary"
1010,35,"married","primary"
1011,34,"divorced","secondary"
1012,39,"single","secondary"
1013,39,"single","tertiary"
1014,52,"divorced","secondary"
1015,34,"married","secondary"
1016,37,"divorced","primary"
1017,39,"married","secondary"
1018,52,"divorced","primary"
1019,35,"married","primary"
1020,36,"married","tertiary"
1021,48,"married","secondary"
1022,31,"divorced","secondary"
1023,43,"divorced","tertiary"
1024,43,"single","primary"
1025,39,"married","secondary"
1026,40,"married","primary"
1027,58,"married","tertiary"
1028,31,"married","primary"
1029,41,"married","secondary"
1030,37,"married","tertiary"
1031,44,"divorced","secondary"
1032,37,"married","tertiary"
1033,39,"married","primary"
1034,41,"single","secondary"
1035,52,"divorced","primary"
1036,29,"single","primary"
1037,60,"divorced","secondary"
1038,32,"married","secondary"
1039,50,"single","primary"
1040,56,"married","primary"
1041,48,"married","secondary"
1042,29,"married","primary"
1043,40,"married","secondary"
1044,42,"divorced","secondary"
1045,34,"married","secondary"
1046,23,"single","tertiary"
1047,30,"single","tertiary"
1048,51,"married","primary"
1049,52,"single","secondary"
1050,45,"married","secondary"
1051,41,"married","secondary"
1052,27,"single","secondary"
1053,50,"married","secondary"
1054,36,"married","primary"
1055,46,"married","primary"
1056,44,"married","primary"
1057,47,"married","secondary"
1058,40,"married","secondary"
1059,36,"single","secondary"
1060,46,"married","secondary"
1061,58,"married","secondary"
1062,30,"divorced","tertiary"
1063,43,"married","secondary"
1064,29,"single","secondary"
1065,41,"married","tertiary"
1066,44,"married","primary"
1067,44,"divorced","secondary"
1068,59,"married","primary"
1069,39,"single","unknown"
1070,42,"married","secondary"
1071,31,"married","secondary"
1072,29,"single","primary"
1073,39,"single","secondary"
1074,44,"married","primary"
1075,49,"single","primary"
1076,39,"married","secondary"
1077,27,"single","secondary"
1078,56,"married","primary"
1079,43,"married","tertiary"
1080,37,"married","primary"
1081,54,"single","secondary"
1082,38,"married","secondary"
1083,31,"married","primary"
1084,34,"married","secondary"
1085,35,"married","primary"
1086,44,"single","unknown"
1087,30,"married","secondary"
1088,51,"married","secondary"
1089,37,"married","primary"
1090,39,"married","tertiary"
1091,33,"single","tertiary"
1092,37,"divorced","tertiary"
1093,46,"single","secondary"
1094,32,"married","secondary"
1095,43,"married","primary"
1096,59,"divorced","unknown"
1097,46,"married","primary"
1098,47,"married","primary"
1099,31,"single","secondary"
1100,30,"married","primary"
1101,38,"married","primary"
1102,44,"single","secondary"
1103,52,"married","unknown"
1104,29,"single","secondary"
1105,43,"married","tertiary"
1106,47,"married","primary"
1107,43,"married","primary"
1108,52,"divorced","primary"
1109,32,"single","secondary"
1110,40,"single","secondary"
1111,57,"divorced","secondary"
1112,30,"divorced","secondary"
1113,48,"married","secondary"
1114,46,"married","secondary"
1115,59,"divorced","primary"
1116,50,"married","primary"
1117,50,"divorced","primary"
1118,33,"divorced","secondary"
1119,39,"single","unknown"
1120,57,"divorced","secondary"
1121,49,"married","unknown"
1122,41,"married","primary"
1123,43,"married","primary"
1124,29,"married","tertiary"
1125,56,"married","primary"
