"index","job","housing_loan","personal_loan","credit_default","balance"
113,"blue-collar","yes","no","no",448
114,"retired","yes","no","no",81
115,"blue-collar","yes","no","no",144
116,"admin.","yes","no","no",351
117,"management","yes","no","no",-67
118,"management","no","no","no",262
119,"technician","no","no","no",0
120,"technician","yes","no","no",56
121,"blue-collar","yes","no","no",26
122,"admin.","yes","no","no",3
123,"services","yes","yes","no",41
124,"technician","no","yes","no",7
125,"technician","yes","no","no",105
126,"admin.","yes","yes","no",818
127,"services","yes","yes","no",-16
128,"blue-collar","yes","no","no",0
129,"services","yes","no","no",2476
130,"management","no","no","no",1185
131,"admin.","yes","no","no",217
132,"technician","yes","no","no",1685
133,"admin.","yes","yes","no",802
134,"unemployed","yes","no","no",0
135,"blue-collar","yes","no","no",94
136,"technician","yes","no","no",0
137,"services","no","no","no",0
138,"blue-collar","yes","no","no",517
139,"blue-collar","yes","no","no",265
140,"housemaid","yes","no","no",947
141,"self-employed","yes","no","no",3
142,"unemployed","no","no","no",42
143,"blue-collar","yes","no","no",37
144,"blue-collar","yes","no","no",57
145,"services","yes","no","no",22
146,"blue-collar","yes","no","no",8
147,"unemployed","yes","no","no",293
148,"services","yes","no","no",3
149,"blue-collar","yes","no","no",348
150,"blue-collar","yes","no","no",-19
151,"student","yes","no","no",0
152,"management","yes","no","no",-4
153,"management","yes","no","no",18
154,"technician","no","no","no",139
155,"services","yes","no","no",0
156,"blue-collar","yes","no","no",1883
157,"retired","yes","no","no",216
158,"blue-collar","yes","no","no",782
159,"blue-collar","yes","no","no",904
160,"services","yes","no","no",1705
161,"technician","yes","no","no",47
162,"services","yes","no","no",176
163,"blue-collar","yes","no","no",1225
164,"technician","yes","no","no",86
165,"admin.","yes","no","no",82
166,"management","yes","no","no",271
167,"technician","yes","no","no",1378
168,"admin.","no","no","no",184
169,"blue-collar","no","no","no",0
170,"blue-collar","yes","no","no",0
171,"services","yes","yes","no",1357
172,"entrepreneur","yes","no","no",19
173,"retired","no","no","no",434
174,"admin.","yes","no","no",92
175,"admin.","yes","no","no",1151
176,"unemployed","yes","no","no",41
177,"technician","yes","no","no",51
178,"services","yes","no","no",214
179,"management","yes","no","no",1161
180,"services","yes","no","no",37
181,"technician","yes","no","no",787
182,"services","yes","no","no",59
183,"technician","yes","no","no",253
184,"admin.","yes","no","no",211
185,"retired","yes","no","no",235
186,"services","yes","no","no",4384
187,"management","no","no","no",4080
188,"blue-collar","yes","yes","no",53
189,"management","yes","no","no",0
190,"retired","yes","no","no",2127
191,"management","yes","no","no",377
192,"management","yes","no","no",73
193,"admin.","yes","no","no",445
194,"blue-collar","yes","no","no",243
195,"blue-collar","yes","no","no",307
196,"services","yes","no","no",155
197,"technician","no","yes","no",173
198,"management","yes","no","no",400
199,"blue-collar","yes","no","no",1428
200,"admin.","yes","no","no",219
201,"self-employed","yes","no","no",7
202,"blue-collar","yes","no","no",575
203,"student","yes","no","no",298
204,"services","yes","no","no",0
205,"services","yes","no","no",5699
206,"management","yes","yes","no",176
207,"management","yes","no","no",517
208,"services","yes","no","no",257
209,"retired","yes","no","no",56
210,"blue-collar","yes","no","no",-390
211,"retired","yes","no","no",330
212,"housemaid","no","no","no",195
213,"services","yes","no","no",301
214,"blue-collar","yes","no","no",-41
215,"technician","yes","no","no",483
216,"unknown","no","no","no",28
217,"unemployed","no","no","no",13
218,"housemaid","no","no","no",965
219,"management","yes","yes","no",378
220,"unemployed","yes","no","no",219
221,"blue-collar","yes","no","no",324
222,"entrepreneur","yes","no","no",-69
223,"retired","no","yes","no",0
224,"technician","yes","no","no",205
225,"blue-collar","yes","no","no",278
226,"management","yes","no","no",1065
227,"management","yes","no","no",34
228,"blue-collar","no","no","no",1033
229,"services","yes","no","no",1467
230,"blue-collar","yes","no","no",-12
231,"services","yes","no","no",388
232,"entrepreneur","yes","no","no",294
233,"blue-collar","no","no","no",1827
234,"blue-collar","yes","no","no",627
235,"blue-collar","yes","no","no",25
236,"admin.","yes","no","no",315
237,"blue-collar","yes","no","no",0
238,"admin.","yes","no","no",66
239,"blue-collar","yes","yes","no",-9
240,"technician","yes","yes","no",349
241,"entrepreneur","yes","no","no",100
242,"admin.","no","no","no",0
243,"technician","yes","no","no",434
244,"management","yes","no","no",3237
245,"management","no","no","no",275
246,"blue-collar","yes","no","no",0
247,"management","yes","no","no",207
248,"blue-collar","yes","no","no",483
249,"services","yes","no","no",2248
250,"admin.","yes","no","no",428
251,"blue-collar","yes","yes","no",0
252,"services","yes","no","no",0
253,"technician","yes","no","no",140
254,"management","yes","no","no",297
255,"blue-collar","yes","no","no",279
256,"entrepreneur","yes","no","no",901
257,"technician","yes","no","no",2573
258,"services","yes","yes","no",143
259,"blue-collar","yes","no","no",475
260,"blue-collar","yes","no","no",70
261,"management","yes","no","no",318
262,"technician","yes","no","no",275
263,"management","yes","no","no",742
264,"entrepreneur","yes","no","no",236
265,"student","yes","no","no",25
266,"management","yes","no","no",600
267,"admin.","yes","no","no",-349
268,"blue-collar","yes","yes","no",183
269,"blue-collar","yes","no","no",0
270,"management","yes","yes","no",0
271,"blue-collar","yes","no","no",0
272,"technician","yes","no","no",1078
273,"entrepreneur","no","no","no",155
274,"admin.","yes","no","no",190
275,"retired","yes","no","no",319
276,"services","yes","no","no",-185
277,"services","no","no","no",47
278,"services","yes","no","no",570
279,"self-employed","no","no","no",19
280,"blue-collar","yes","no","no",61
281,"admin.","yes","yes","no",-62
282,"technician","no","no","no",258
283,"blue-collar","yes","no","no",76
284,"blue-collar","yes","no","no",0
285,"admin.","yes","no","no",352
286,"admin.","yes","no","no",368
287,"technician","yes","no","no",339
288,"blue-collar","yes","no","no",1331
289,"self-employed","yes","no","no",672
290,"management","yes","no","no",58
291,"technician","yes","no","no",447
292,"student","yes","no","no",423
293,"management","no","no","no",0
294,"technician","yes","no","no",19
295,"technician","yes","no","no",13
296,"blue-collar","yes","no","no",3
297,"student","yes","no","no",82
298,"blue-collar","yes","no","no",28
299,"technician","yes","no","no",792
300,"blue-collar","yes","no","no",408
301,"admin.","yes","no","no",531
302,"retired","yes","no","no",211
303,"services","yes","no","no",62
304,"services","yes","no","no",257
305,"technician","yes","no","no",1234
306,"management","yes","no","no",313
307,"blue-collar","yes","no","no",89
308,"blue-collar","yes","yes","no",129
309,"management","yes","no","no",0
310,"admin.","yes","no","no",353
311,"technician","yes","no","no",851
312,"services","yes","yes","no",96
313,"services","yes","yes","no",398
314,"admin.","no","no","no",193
315,"admin.","yes","no","no",-358
316,"blue-collar","yes","yes","no",539
317,"technician","yes","no","no",0
318,"retired","no","no","no",0
319,"blue-collar","yes","no","no",490
320,"blue-collar","yes","no","no",0
321,"blue-collar","yes","no","no",403
322,"management","yes","no","no",161
323,"technician","no","no","no",2558
324,"admin.","yes","no","no",98
325,"management","no","no","no",115
326,"blue-collar","yes","no","no",436
327,"technician","yes","no","no",831
328,"technician","yes","no","no",206
329,"blue-collar","yes","no","no",290
330,"blue-collar","no","no","no",1
331,"blue-collar","yes","no","no",57
332,"blue-collar","yes","no","no",-457
333,"management","yes","no","no",1387
334,"management","yes","no","no",24598
335,"blue-collar","yes","no","no",30
336,"admin.","yes","no","no",1022
337,"technician","yes","yes","no",56
338,"admin.","no","no","yes",-2
339,"services","yes","no","no",121
340,"blue-collar","yes","no","no",842
341,"management","yes","no","no",693
342,"blue-collar","yes","no","no",-333
343,"blue-collar","yes","no","no",1533
344,"management","yes","no","no",46
345,"services","no","no","no",18
346,"technician","yes","no","no",44
347,"blue-collar","yes","no","no",-100
348,"services","yes","no","no",510
349,"management","yes","no","no",685
350,"management","yes","no","no",187
351,"blue-collar","yes","no","no",66
352,"admin.","yes","no","no",560
353,"blue-collar","yes","no","no",0
354,"unknown","no","no","no",27
355,"admin.","yes","no","no",12
356,"blue-collar","yes","no","no",34
357,"entrepreneur","yes","no","no",1068
358,"blue-collar","yes","no","no",211
359,"admin.","yes","no","no",377
360,"management","yes","no","no",263
361,"services","yes","no","no",1263
362,"services","yes","no","no",8
363,"admin.","yes","yes","no",126
364,"admin.","yes","no","no",230
365,"technician","yes","no","no",841
366,"admin.","yes","no","no",308
367,"management","yes","no","no",1
368,"admin.","yes","no","no",86
369,"student","yes","no","no",157
370,"services","yes","no","no",22
371,"admin.","yes","yes","no",46
372,"blue-collar","no","no","no",1293
373,"admin.","yes","no","no",122
374,"blue-collar","yes","no","no",131
375,"blue-collar","yes","no","no",143
376,"admin.","no","no","no",393
377,"blue-collar","yes","no","no",98
378,"management","yes","no","no",0
379,"blue-collar","yes","no","no",224
380,"blue-collar","yes","no","no",757
381,"services","yes","yes","no",245
382,"management","no","no","no",8486
383,"admin.","no","no","no",350
384,"blue-collar","yes","no","no",20
385,"services","yes","yes","no",1667
386,"technician","yes","no","no",345
387,"unemployed","yes","no","no",10
388,"management","yes","yes","no",830
389,"blue-collar","yes","no","no",29
390,"retired","yes","no","no",545
391,"technician","yes","no","no",8730
392,"technician","yes","no","no",477
393,"admin.","yes","no","no",4
394,"blue-collar","yes","no","no",1205
395,"technician","yes","yes","no",0
396,"admin.","yes","no","no",263
397,"admin.","no","no","no",1
398,"blue-collar","no","yes","no",283
399,"blue-collar","yes","no","no",206
400,"housemaid","yes","no","no",17
401,"technician","yes","yes","no",141
402,"self-employed","yes","no","no",16
403,"services","yes","no","no",206
404,"technician","no","no","no",7
405,"management","no","no","no",0
406,"retired","no","no","no",0
407,"blue-collar","yes","no","no",1927
408,"technician","yes","no","no",284
409,"blue-collar","yes","no","no",1660
410,"services","yes","no","no",406
411,"blue-collar","yes","no","no",230
412,"admin.","yes","no","no",-25
413,"admin.","yes","no","no",182
414,"entrepreneur","yes","no","no",1169
415,"admin.","yes","no","no",67
416,"technician","no","no","no",77
417,"unemployed","yes","no","no",0
418,"blue-collar","yes","yes","no",55
419,"technician","yes","no","yes",72
420,"management","yes","no","no",163
421,"management","yes","no","no",151
422,"admin.","yes","no","no",113
423,"blue-collar","yes","no","no",0
424,"technician","yes","no","no",9
425,"management","yes","no","no",375
426,"services","yes","no","no",1142
427,"blue-collar","yes","no","no",2102
428,"technician","yes","no","no",4325
429,"blue-collar","yes","no","no",217
430,"admin.","yes","no","no",131
431,"management","yes","no","no",1680
432,"blue-collar","yes","no","no",0
433,"blue-collar","yes","no","no",46
434,"blue-collar","yes","no","no",320
435,"admin.","yes","no","no",183
436,"blue-collar","no","no","no",39
437,"management","yes","no","no",560
438,"technician","no","no","no",469
439,"admin.","yes","no","no",530
440,"services","yes","no","no",61
441,"technician","yes","no","no",242
442,"blue-collar","yes","no","no",139
443,"self-employed","yes","no","no",0
444,"technician","yes","no","no",367
445,"admin.","yes","no","no",228
446,"technician","yes","no","no",45248
447,"self-employed","yes","no","no",-84
448,"services","yes","no","no",310
449,"blue-collar","yes","no","no",132
450,"technician","yes","no","no",797
451,"services","no","no","no",71
452,"management","yes","no","no",2
453,"management","yes","yes","no",231
454,"blue-collar","yes","yes","no",270
455,"blue-collar","yes","yes","no",274
456,"admin.","yes","yes","no",-109
457,"technician","yes","no","no",1
458,"blue-collar","no","no","yes",-60
459,"blue-collar","yes","no","no",89
460,"blue-collar","no","no","no",-11
461,"blue-collar","yes","no","no",0
462,"blue-collar","yes","no","no",-509
463,"unemployed","yes","no","no",408
464,"services","yes","no","no",58
465,"retired","no","yes","no",1640
466,"admin.","yes","no","no",20
467,"blue-collar","yes","no","no",71
468,"blue-collar","yes","no","no",52
469,"self-employed","yes","no","no",292
470,"services","yes","no","no",424
471,"housemaid","yes","no","no",109
472,"blue-collar","yes","no","no",1044
473,"blue-collar","yes","no","no",983
474,"admin.","no","no","no",869
475,"blue-collar","yes","no","no",668
476,"management","yes","no","no",964
477,"management","yes","no","no",301
478,"admin.","yes","no","no",140
479,"management","yes","no","no",1877
480,"blue-collar","yes","no","no",1127
481,"technician","yes","no","no",871
482,"technician","yes","yes","no",767
483,"blue-collar","no","no","no",0
484,"services","yes","no","no",209
485,"management","no","no","no",0
486,"blue-collar","yes","yes","no",110
487,"management","yes","yes","no",-76
488,"technician","yes","no","no",178
489,"blue-collar","yes","no","no",-66
490,"technician","yes","no","no",0
491,"blue-collar","yes","no","no",1
492,"blue-collar","yes","no","no",0
493,"unemployed","no","no","no",5345
494,"blue-collar","yes","no","no",-209
495,"admin.","yes","no","no",0
496,"blue-collar","yes","no","no",42
497,"blue-collar","yes","no","no",41
498,"blue-collar","yes","no","no",-99
499,"technician","yes","no","no",17
500,"admin.","yes","yes","no",276
501,"technician","no","no","no",-170
502,"management","yes","yes","no",230
503,"blue-collar","yes","no","no",9
504,"blue-collar","yes","no","no",946
505,"blue-collar","yes","no","no",1297
506,"retired","yes","no","no",-331
507,"blue-collar","yes","no","no",44
508,"retired","no","no","yes",15
509,"admin.","yes","no","no",712
510,"retired","yes","no","no",5435
511,"admin.","yes","no","no",507
512,"unemployed","yes","no","no",387
513,"blue-collar","yes","yes","no",0
514,"management","yes","no","no",1716
515,"entrepreneur","yes","yes","no",167
516,"admin.","no","yes","no",40
517,"blue-collar","yes","no","no",148
518,"technician","yes","yes","no",17
519,"blue-collar","yes","no","no",1011
520,"management","yes","no","no",1527
521,"management","no","no","no",744
522,"admin.","yes","no","no",484
523,"management","yes","no","no",0
524,"retired","yes","no","no",136
525,"blue-collar","yes","no","no",1335
526,"management","yes","no","no",517
527,"management","yes","no","no",459
528,"management","yes","no","no",549
529,"admin.","yes","yes","no",83
530,"blue-collar","no","no","no",213
531,"housemaid","yes","no","no",203
532,"services","yes","no","no",518
533,"management","yes","no","no",3877
534,"admin.","yes","no","no",1236
535,"blue-collar","yes","no","no",756
536,"blue-collar","yes","no","no",157
537,"blue-collar","yes","no","no",-66
538,"blue-collar","yes","no","no",245
539,"blue-collar","yes","no","no",-144
540,"blue-collar","yes","no","no",71
541,"services","yes","no","no",505
542,"technician","yes","no","no",249
543,"admin.","yes","no","no",0
544,"unemployed","yes","no","no",11
545,"admin.","yes","no","no",639
546,"blue-collar","yes","no","no",124
547,"blue-collar","yes","no","no",82
548,"self-employed","yes","no","no",107
549,"services","yes","no","no",473
550,"services","yes","yes","no",372
551,"admin.","yes","no","no",46
552,"student","yes","no","no",34
553,"self-employed","yes","no","no",935
554,"blue-collar","yes","no","no",-10
555,"admin.","yes","no","no",-106
556,"services","yes","no","no",471
557,"admin.","yes","no","no",778
558,"blue-collar","yes","no","no",170
559,"technician","yes","no","no",315
560,"blue-collar","no","no","no",3165
561,"admin.","yes","no","no",131
562,"entrepreneur","yes","no","yes",204
563,"technician","yes","no","no",83
564,"services","yes","yes","no",0
565,"blue-collar","yes","yes","no",5431
566,"management","yes","no","no",1759
567,"unemployed","yes","no","no",-125
568,"blue-collar","no","no","no",0
569,"services","yes","no","no",5090
570,"technician","yes","no","no",573
571,"blue-collar","yes","no","no",1602
572,"blue-collar","yes","yes","yes",-137
573,"technician","no","no","no",0
574,"services","no","no","no",193
575,"retired","yes","yes","no",195
576,"entrepreneur","no","no","no",288
577,"technician","yes","no","no",19
578,"blue-collar","yes","no","no",25
579,"services","yes","no","no",216
580,"blue-collar","yes","yes","no",190
581,"technician","yes","no","no",99
582,"services","yes","no","no",2298
583,"management","yes","no","no",17
584,"technician","yes","no","no",0
585,"blue-collar","yes","no","no",0
586,"blue-collar","yes","no","no",840
587,"services","yes","no","no",358
588,"technician","yes","no","no",0
589,"blue-collar","yes","yes","no",-325
590,"technician","yes","no","no",-15
591,"technician","yes","no","no",581
592,"admin.","yes","no","no",4070
593,"retired","no","yes","no",74
594,"services","yes","no","no",141
595,"services","no","no","no",89
596,"services","yes","no","yes",0
597,"blue-collar","no","no","no",450
598,"technician","no","no","no",310
599,"self-employed","yes","no","no",0
600,"blue-collar","yes","no","no",384
601,"blue-collar","yes","no","no",395
602,"services","yes","no","no",-118
603,"blue-collar","yes","yes","no",5
604,"blue-collar","yes","yes","no",50
605,"blue-collar","yes","yes","no",285
606,"technician","no","no","no",15
607,"blue-collar","yes","yes","no",653
608,"self-employed","yes","no","no",918
609,"services","yes","yes","no",243
610,"technician","yes","no","no",405
611,"management","yes","no","no",1328
612,"services","yes","no","no",255
613,"blue-collar","yes","no","no",3397
614,"technician","yes","no","no",2106
615,"management","yes","no","no",2877
616,"blue-collar","yes","yes","no",60
617,"blue-collar","yes","no","no",2226
618,"blue-collar","yes","no","no",2880
619,"technician","yes","no","no",-5
620,"technician","no","no","no",147
621,"technician","yes","yes","no",7
622,"technician","yes","no","no",109
623,"retired","yes","no","no",-119
624,"technician","yes","no","no",484
625,"management","yes","no","no",1852
626,"unemployed","yes","no","no",533
627,"technician","yes","no","no",21
628,"admin.","yes","no","no",2434
629,"technician","yes","yes","no",90
630,"admin.","yes","no","no",4246
631,"admin.","yes","no","no",395
632,"blue-collar","yes","no","no",15
633,"services","no","no","no",85
634,"entrepreneur","yes","yes","no",-184
635,"services","no","no","no",660
636,"blue-collar","yes","no","yes",-183
637,"unemployed","yes","no","no",1144
638,"services","yes","no","no",1
639,"admin.","yes","yes","no",69
640,"management","yes","no","no",220
641,"blue-collar","yes","no","no",332
642,"blue-collar","yes","no","no",240
643,"technician","yes","no","no",0
644,"unemployed","yes","no","no",0
645,"entrepreneur","yes","no","no",898
646,"technician","yes","yes","no",123
647,"student","yes","no","no",252
648,"management","yes","no","no",65
649,"technician","yes","yes","no",-366
650,"student","yes","no","no",209
651,"admin.","yes","no","no",221
652,"self-employed","yes","no","no",4
653,"admin.","yes","no","no",104
654,"technician","yes","no","no",312
655,"blue-collar","yes","no","no",-349
656,"services","no","no","no",4
657,"blue-collar","yes","yes","no",-322
658,"admin.","yes","no","no",-150
659,"management","yes","no","no",1349
660,"admin.","yes","no","no",281
661,"services","yes","no","no",1259
662,"admin.","yes","no","no",101
663,"blue-collar","yes","no","no",848
664,"entrepreneur","yes","no","no",89
665,"blue-collar","yes","no","no",140
666,"admin.","yes","no","no",148
667,"technician","yes","no","no",200
668,"self-employed","yes","no","no",46
669,"services","yes","no","no",201
670,"blue-collar","yes","no","no",530
671,"blue-collar","yes","no","no",0
672,"self-employed","yes","no","no",1
673,"blue-collar","yes","no","no",43
674,"management","yes","no","no",-173
675,"management","yes","no","no",389
676,"blue-collar","yes","yes","no",215
677,"technician","yes","no","no",-131
678,"management","yes","no","no",783
679,"admin.","yes","no","no",0
680,"services","yes","no","no",80
681,"services","yes","no","no",105
682,"admin.","yes","yes","no",182
683,"admin.","yes","no","no",82
684,"management","yes","no","no",0
685,"services","yes","no","no",510
686,"management","yes","no","no",242
687,"admin.","yes","yes","no",244
688,"management","yes","no","no",92
689,"blue-collar","yes","no","yes",0
690,"student","yes","no","no",948
691,"blue-collar","yes","no","no",23
692,"technician","yes","no","no",710
693,"services","yes","no","no",1205
694,"technician","yes","yes","no",368
695,"entrepreneur","yes","no","no",1631
696,"admin.","yes","no","no",6
697,"blue-collar","yes","no","no",26
698,"technician","yes","no","no",-48
699,"management","yes","no","no",2142
700,"services","yes","yes","no",77
701,"blue-collar","yes","no","no",401
702,"admin.","no","no","no",21
703,"services","yes","no","no",0
704,"admin.","yes","no","no",-497
705,"blue-collar","no","no","no",369
706,"technician","yes","no","no",78
707,"technician","yes","yes","no",226
708,"technician","yes","no","no",503
709,"blue-collar","yes","no","no",372
710,"admin.","yes","yes","no",0
711,"blue-collar","yes","no","no",0
712,"entrepreneur","yes","no","no",125
713,"retired","yes","no","no",4
714,"admin.","yes","no","no",419
715,"admin.","yes","no","no",322
716,"retired","yes","no","no",303
717,"blue-collar","yes","no","no",607
718,"blue-collar","yes","no","no",579
719,"admin.","yes","no","no",3047
720,"technician","yes","no","no",83
721,"management","yes","no","no",68
722,"blue-collar","yes","no","no",58
723,"admin.","yes","no","no",251
724,"blue-collar","yes","no","no",688
725,"retired","yes","no","no",364
726,"services","yes","no","no",55
727,"admin.","yes","no","no",101
728,"management","yes","no","no",105
729,"blue-collar","yes","no","no",325
730,"blue-collar","yes","no","no",198
731,"entrepreneur","yes","no","no",209
732,"blue-collar","yes","no","no",183
733,"management","yes","no","no",105
734,"services","yes","no","no",109
735,"blue-collar","yes","yes","no",376
736,"blue-collar","yes","no","no",-7
737,"technician","no","no","no",0
738,"retired","yes","no","no",143
739,"management","yes","no","no",550
740,"blue-collar","yes","no","no",162
741,"management","yes","no","no",115
742,"blue-collar","yes","no","no",512
743,"blue-collar","yes","no","no",807
744,"blue-collar","yes","no","no",248
745,"blue-collar","yes","no","no",1211
746,"self-employed","no","no","no",7
747,"entrepreneur","yes","no","no",281
748,"blue-collar","yes","no","no",88
749,"management","yes","no","no",32
750,"admin.","yes","no","no",115
751,"blue-collar","yes","no","no",254
752,"management","yes","no","no",144
753,"unemployed","no","no","no",383
754,"admin.","yes","yes","no",569
755,"housemaid","yes","no","no",0
756,"admin.","yes","no","no",3754
757,"housemaid","yes","no","no",6920
758,"services","yes","yes","no",307
759,"technician","yes","no","no",-421
760,"blue-collar","no","no","no",60
761,"blue-collar","yes","no","no",67
762,"technician","yes","no","no",402
763,"self-employed","no","no","no",800
764,"technician","yes","yes","no",239
765,"blue-collar","yes","no","no",421
766,"admin.","yes","no","no",161
767,"technician","no","no","yes",289
768,"student","yes","no","no",110
769,"blue-collar","yes","no","no",245
770,"services","yes","no","no",0
771,"blue-collar","yes","no","no",156
772,"technician","yes","no","no",0
773,"admin.","yes","no","no",20
774,"technician","yes","no","no",92
775,"services","yes","no","no",89
776,"blue-collar","yes","no","no",166
777,"management","yes","no","no",103
778,"blue-collar","yes","no","no",-454
779,"admin.","yes","no","no",445
780,"admin.","no","no","no",4
781,"blue-collar","yes","no","no",1001
782,"services","yes","no","no",-69
783,"technician","yes","no","no",42
784,"technician","yes","no","no",1617
785,"management","yes","no","no",221
786,"technician","yes","yes","no",210
787,"management","no","no","no",0
788,"student","yes","no","no",185
789,"retired","yes","no","no",836
790,"blue-collar","yes","no","no",301
791,"blue-collar","yes","no","no",503
792,"retired","yes","no","no",407
793,"blue-collar","yes","no","no",53
794,"self-employed","yes","no","no",2303
795,"management","yes","no","no",144
796,"services","yes","no","no",205
797,"management","yes","no","no",305
798,"blue-collar","yes","yes","no",251
799,"retired","yes","no","no",0
800,"technician","no","no","no",8
801,"blue-collar","yes","no","no",139
802,"services","yes","no","no",184
803,"blue-collar","yes","no","no",238
804,"admin.","no","no","no",0
805,"blue-collar","yes","no","yes",0
806,"services","yes","no","no",222
807,"services","yes","no","no",414
808,"retired","yes","no","no",223
809,"technician","no","no","no",197
810,"blue-collar","yes","no","no",-251
811,"self-employed","yes","no","no",-139
812,"blue-collar","yes","no","no",733
813,"technician","yes","no","no",0
814,"services","no","no","no",1
815,"blue-collar","yes","no","no",97
816,"blue-collar","yes","no","no",435
817,"management","yes","no","no",0
818,"technician","no","no","no",147
819,"technician","yes","no","no",3
820,"services","yes","yes","no",1109
821,"services","yes","no","no",404
822,"blue-collar","yes","no","no",981
823,"blue-collar","yes","no","no",95
824,"services","yes","no","no",302
825,"services","yes","yes","no",-290
826,"services","yes","no","no",259
827,"blue-collar","yes","yes","no",527
828,"retired","yes","no","no",102
829,"management","yes","no","no",872
830,"management","yes","no","no",490
831,"blue-collar","yes","no","no",19
832,"blue-collar","yes","no","no",16
833,"management","yes","no","no",386
834,"technician","yes","no","no",539
835,"technician","yes","no","no",-329
836,"services","yes","no","no",-174
837,"entrepreneur","yes","no","no",68
838,"blue-collar","yes","no","yes",-532
839,"admin.","yes","no","no",0
840,"blue-collar","yes","no","no",64
841,"blue-collar","yes","no","no",1415
842,"technician","yes","no","no",147
843,"blue-collar","yes","no","no",72
844,"services","yes","no","no",-196
845,"blue-collar","yes","no","no",716
846,"management","yes","no","no",0
847,"services","yes","no","no",-246
848,"blue-collar","yes","no","no",-203
849,"admin.","yes","yes","no",245
850,"services","yes","no","no",342
851,"technician","yes","no","no",3
852,"management","yes","yes","yes",-248
853,"blue-collar","yes","no","no",376
854,"blue-collar","yes","no","no",370
855,"admin.","yes","no","no",594
856,"blue-collar","yes","no","no",387
857,"services","yes","no","no",208
858,"blue-collar","yes","no","no",563
859,"services","yes","yes","no",392
860,"retired","no","no","no",165
